NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;MISSILE_THRUST;MISSILE_BOOSTTIME;MISSILE_CRUISETHRUST;MISSILE_CRUISETIME;MISSILE_MAXTURNRATEDPS;MISSILE_BLASTPOWER;MISSILE_BLASTHEAT;MISSILE_BLASTRADIUS;MISSILE_GUIDANCEACTIVE;MISSILE_HOMINGTYPE;MISSILE_TARGETINGTYPE;MISSILE_MINLAUNCHSPEED;MISSILE_MINSTATICLAUNCHRANGE;MISSILE_MAXSTATICLAUNCHRANGE;MISSILE_OPTIMUMAIRSPEED;CRUISE_TERMINALMANEUVERING; CRUISE_TERMINALGUIDANCETYPE; CRUISE_TERMINALGUIDANCEDISTANCE;RADAR_ACTIVERADARRANGE;RADAR_RADARLOAL;TRACK_MAXOFFBORESIGHT;TRACK_LOCKEDSENSORFOV;HEAT_HEATTHRESHOLD;LASER_BEAMCORRECTIONFACTOR; LASER_BEAMCORRECTIONDAMPING
LRASM-AS;BGM-158C LRASM;Johnny005611;Johnny005611;1.55;2000;50;1523.15;120;4;30;600;30;25;-1;150;True;cruise;radar;0;0;1200000;300;False;;0;20000;True;360;360;150;0;0
LRASM-B;AGM-158D LRASM;Johnny005611;Johnny005611;1.05;2000;50;1523.15;50;2;100;600;70;25;-1;150;True;cruise;radar;0;0;1200000;1150;False;;0;20000;True;360;360;150;0;0
LRASM-BS;BGM-158D LRASM;Johnny005611;Johnny005611;1.55;2000;50;1523.15;120;4;100;600;80;25;-1;150;True;cruise;radar;0;0;1200000;1150;False;;0;20000;True;360;360;150;0;0
MK48 Torpedo;Mk. 48 Mod 4 Torpedo;Johnny005611;Johnny005611;2.4;950;50;1523.15;400;2;200;3600;60;25;-1;150;True;aam;radar;0;0;50000;100;False;radar;50000;50000;True;360;360;150;0;0
MK56 Torpedo;Mk. 54 Torpedo;Johnny005611;Johnny005611;1.4;950;50;1523.15;2;4;100;1200;45;25;-1;150;True;aam;radar;0;0;50000;80;False;radar;50000;50000;True;360;360;150;0;0
MK58 Torpedo;Mk. 48 Mod 7 Torpedo;Johnny005611;Johnny005611;2.4;950;50;1523.15;2;4;200;3600;60;25;-1;150;True;aam;radar;0;0;50000;100;False;radar;50000;50000;True;360;360;150;0;0
RR120;R-77-PD;Johnny005611;Johnny005611;0.05;2000;50;1523.15;30;2;20;600;70;25;-1;150;True;aam;radar;0;0;300000;1200;False;;0;100000;True;360;360;150;0;0
X51A;X-51 Waverider;Johnny005611;Johnny005611;1.55;2000;50;1523.15;240;20;300;600;80;25;-1;150;True;cruise;radar;0;0;1200000;2000;False;;0;20000;True;360;360;150;0;0
NAS.AB.Type99No80.IJN;Type 99 No.80 Mk 5 Bomb;BahamutoD & Kerwis;Kerbin Navy;0.7968;750;64;1523.15;0;0;0;80;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.DC.Type3.IJN;Type 3 Depth Charge;BahamutoD & Kerwis;Kerbin Navy;0.15;300;400;1523.15;0;0;0;120;0;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.FlareBomb;Aerial Flare Bomb;BahamutoD & Kerwis;Kerbin Navy;0.023;75;1;1523.15;0;180;0;0;12.5;25;-1;150;False;none;none;0;10;5000;5;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.AN-Mk1.USN;AN-Mk 1 1,600 lb Armor Piercing Bomb;BahamutoD & Kerwis;Kerbin Navy;0.726;700;80;1523.15;0;0;0;90;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.HVAR.USN;High Velocity Aircraft Rocket;BahamutoD & Kerwis;Kerbin Navy;0.061;120;10;1523.15;0;0.0025;5;1.5;30;8.5;7.6;15;False;none;none;0;10;5000;419;False;;0;6000;False;360;2.5;150;0;0
NAS.AB.TinyTim.USN;Tiny Tim Unguided Rocket;BahamutoD & Kerwis;Kerbin Navy;0.569;480;10;1523.15;0;0.005;8;1;30;23.5;21;40;False;none;none;0;10;5000;245.8;False;;0;6000;False;360;2.5;150;0;0
NAS.DC.Mark9.USN;Depth Charge Mark 9 Mod 2;BahamutoD & Kerwis;Kerbin Navy;0.15;300;50;1523.15;0;0;0;120;0;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
4K40Termit;4K40 Termit;Spanner;SM Armory Missiles;2.58;950;30;1523.15;170;5;50;300;28;25;-1;150;True;cruise;radar;0;500;40000;328;False;;0;40000;True;180;7;150;0;0
SkudD;8A61 Zemlya;Spanner;SM Armory Missiles;1.1;950;7;1523.15;160;3.5;60;120;35;25;-1;150;True;agmballistic;gps;0;1000;35000;850;False;;0;6000;False;360;2.5;150;0;0
S125NevaMissile;5V24 Neva;Spanner;SM Armory Missiles;0.953;950;5;1523.15;90;2.6;22;18.7;3;25;-1;150;True;aam;radar;0;1000;15000;775;False;;0;8000;True;90;7;150;0;0
SMA57E6BGM;9M335 Pantsir;Spanner;SM Armory Missiles;0.0757;950;5;1523.15;30;1.5;5.5;35;35;25;-1;150;True;aam;radar;0;750;20000;550;False;;0;11000;False;180;5;150;0;0
AtakaAT;9M120 Ataka;Spanner;SM Armory Missiles;0.0495;650;5;1523.15;5.5;5;0;0;10;25;-1;150;True;agm;laser;0;500;6000;372;False;;0;6000;False;360;2.5;150;0;0
